razon_social,n_concesiones,hectareas_totales,departamentos,provincias,estados_concesion,sustancias,dominio_corporativo,nombre_decisor,cargo,correo_corporativo,telefono_empresarial,fuente_dato,servicio_potencial,ultima_interaccion
DRUK COMPAÑIA MINERA S.A.C.,32,24500.0,ANCASH,CASMA; CASMA /  HUARAZ /  HUARMEY; HUARMEY; SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PYRAMID METALS S.A.C.,30,16300.0,ANCASH; CAJAMARCA,CAJABAMBA; CASMA; CASMA /  MAR; HUARMEY; SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
VALE EXPLORATION PERU S.A.C.,28,22800.0,CAJAMARCA; CAJAMARCA /  LAMBAYEQUE; CAJAMARCA /  PIURA,CAJABAMBA; CHICLAYO /  SAN MIGUEL; CHOTA; CHOTA /  SANTA CRUZ; CONTUMAZA; CUTERVO /  FERREÑAFE; CUTERVO /  FERREÑAFE /  JAEN; HUANCABAMBA /  JAEN; JAEN; SANTA CRUZ,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PERASOL S.A.C.,26,9400.0,ANCASH; PIURA,AYABACA; HUARMEY; PIURA; SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,26,19498.4,PIURA,MORROPON /  PIURA; PIURA,TITULADO,M; N,buenaventura.com,,,,(511) 419-2500,; sitio web oficial,,
CONSORCIO MINERO ATE S.A.C.,24,14203.1,PIURA,AYABACA; AYABACA /  FUERA DEL PERU,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",23,8451.4,CAJAMARCA,CAJAMARCA; CAJAMARCA /  CELENDIN,TITULADO,M,southerncoppercorp.com,,,,(511) 512-0440,; sitio web oficial,,
CIA MINERA SORAYA E.I.R.L.,23,201.3,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA YANACOCHA S.R.L.,21,107752.4,CAJAMARCA,CAJAMARCA; CAJAMARCA /  CELENDIN; CAJAMARCA /  CELENDIN /  HUALGAYOC /  SAN MIGUEL /  SAN PABLO; CELENDIN; SAN MIGUEL,OTROS; TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NUEVO ARCOIRIS S.A.C.,21,16300.0,PIURA,PIURA; PIURA /  SULLANA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ACTIVOS MINEROS S.A.C.,20,121686.3,ANCASH; CAJAMARCA; PIURA,CAJAMARCA; CASMA; PIURA; SECHURA,TITULADO,M; N,gob.pe/institucion/amsac,,,,(511) 204-9000,"; plataforma del Estado peruano (empresa publica FONAFE, no es cliente ABM tipico — remediacion ambiental estatal)",,
PERU FORTESCUE S.A.C.,20,16900.0,ANCASH; CAJAMARCA; CAJAMARCA /  LAMBAYEQUE,CORONGO; CORONGO /  PALLASCA /  SANTA; FERREÑAFE /  JAEN; JAEN; SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BLACK SWAN MINERALS S.A.C.,20,13200.0,ANCASH; CAJAMARCA,HUARMEY; HUARMEY /  MAR; JAEN; SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
TECK PERU S.A.,20,16300.0,ANCASH; CAJAMARCA,CAJABAMBA; HUAYLAS /  SANTA; SANTA,TITULADO; TRAMITE,M,teck.com,,,exploration@teck.com,,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
ANDEAN ANTHRACITE ACE S.A.,19,6739.6,ANCASH; CAJAMARCA; CAJAMARCA /  LA LIBERTAD,CAJABAMBA; CAJABAMBA /  SANCHEZ CARRION; CAJAMARCA; CAJAMARCA /  GRAN CHIMU; CORONGO; PALLASCA,TITULADO,N,andeananthracite.com,,,,,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
COMPAÑIA MINERA COIMOLACHE S.A.,19,20291.8,CAJAMARCA,CHOTA /  HUALGAYOC; HUALGAYOC; HUALGAYOC /  SAN MIGUEL; HUALGAYOC /  SAN MIGUEL /  SANTA CRUZ; SAN MIGUEL,OTROS; TITULADO,M,buenaventura.com,,,,,"INGEMMET - Catastro Minero (zona 17S); sitio web oficial (subsidiaria de Buenaventura, sin sitio propio)",,
ATOM ENVIRONMENTAL S.A.C.,18,13000.0,CAJAMARCA,JAEN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SALMUERAS SUDAMERICANAS S.A.,18,13500.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA LOS MANTOS S.A.,17,235.3,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RIO BLANCO COPPER S.A.,17,13644.2,PIURA,AYABACA /  HUANCABAMBA; FUERA DEL PERU /  HUANCABAMBA; HUANCABAMBA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION MATERIALES PIURA S.A.C.,16,11100.0,PIURA,MAR /  PAITA; PAITA; PAITA /  PIURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
IAMGOLD PERU S.A.,14,5800.0,CAJAMARCA,CELENDIN; CELENDIN /  HUALGAYOC; CUTERVO,TITULADO; TRAMITE,M,iamgold.com,,,info@iamgold.com,,INGEMMET - Catastro Minero (zona 17S); sitio web oficial (dominio de la matriz canadiense),,
SIERRA MINING S.A.C.,13,6097.6,ANCASH; PIURA,AYABACA; AYABACA /  FUERA DEL PERU; AYABACA /  SULLANA; CASMA; PIURA; SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES PACASMAYO S.A.,13,10100.0,PIURA,MAR /  SECHURA; SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA CENTRO ANDES S.A.C.,12,10700.0,ANCASH; CAJAMARCA,CASMA /  HUARAZ /  HUARMEY; CASMA /  HUARMEY; HUARMEY; JAEN,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA LAS CAMELIAS S.A.,12,1147.8,CAJAMARCA; CAJAMARCA /  LA LIBERTAD,ASCOPE /  CONTUMAZA; CAJAMARCA; CONTUMAZA; SAN MARCOS,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
REFRACTARIOS PERUANOS S.A.,12,8500.0,PIURA,PAITA,TITULADO,N,repsa.com.pe,,,uno@repsa.com.pe,(51-1) 515-1100,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
MINERA MAPSA S.A.,11,10800.0,ANCASH; ANCASH /  LA LIBERTAD /,HUARMEY; MAR /  SANTA; MAR /  SANTA /  VIRU,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SEG MINING COMPANY S.A.C.,11,4700.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
YANA QURI P & M S.A.C.,11,5800.0,CAJAMARCA,FUERA DEL PERU /  SAN IGNACIO; JAEN; JAEN /  SAN IGNACIO; SAN IGNACIO,TITULADO; TRAMITE,M,,,,,,"INGEMMET - Catastro Minero (zona 17S); AMBIGUO: busqueda solo devolvio 'Minera Yanaquihua S.A.C.', empresa distinta por nombre - no se completo dominio para evitar falso match",,
ROOT MINERALS S.A.C.,11,9500.0,PIURA,SECHURA,EXTINGUIDO; TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLORACIONES HORIZONTE GOLD S.A.C.,11,1800.0,PIURA,AYABACA; AYABACA /  PIURA; PIURA; PIURA /  SULLANA; SULLANA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA COLQUIRRUMI S.A.,10,248.7,CAJAMARCA,HUALGAYOC,TITULADO,M,buenaventura.com,,,,,"INGEMMET - Catastro Minero (zona 17S); sitio web oficial (subsidiaria de Buenaventura para pasivos ambientales, sin sitio propio)",,
MINERA ANTARES PERU S.A.C.,10,8100.0,CAJAMARCA; CAJAMARCA /  LAMBAYEQUE,CHOTA; CHOTA /  CUTERVO; CHOTA /  CUTERVO /  FERREÑAFE; CHOTA /  FERREÑAFE,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GOBIERNO REGIONAL DE PIURA,10,209.8,PIURA,HUANCABAMBA; SULLANA,OTROS,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLOANDINA HUALANYOG S.A.C,9,2700.0,ANCASH,CASMA; CASMA /  SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
RIAL MINERA S.A.C.,9,3600.0,CAJAMARCA,SAN IGNACIO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA POMATAREA S.A.C.,9,7100.0,CAJAMARCA,JAEN; SAN IGNACIO,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA AURIFERA RETAMAS S.A.,9,6100.0,CAJAMARCA,CAJAMARCA; CAJAMARCA /  CELENDIN,TITULADO; TRAMITE,M,marsa.com.pe,,,,,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
COMPAÑIA MINERA LINCUNA S.A.,9,7600.0,CAJAMARCA; CAJAMARCA /  LA LIBERTAD,CAJAMARCA; CAJAMARCA /  CONTUMAZA /  GRAN CHIMU; JAEN,TITULADO,M,lincuna.com.pe,,,,,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
S.M.R.L. CORDILLERA I,9,5000.0,CAJAMARCA,SAN MIGUEL,TITULADO; TRAMITE,M,,,,,,"INGEMMET - Catastro Minero (zona 17S); AMBIGUO: unico resultado fue 'Minera Cordillera S.A.' (empresa argentina), no coincide - no se completo dominio",,
GOLD FIELDS PARACAS S.A.C.,9,216.6,CAJAMARCA,HUALGAYOC,TITULADO,M,goldfields.com.pe,,,,,"INGEMMET - Catastro Minero (zona 17S); sitio web oficial (posible SPV/proyecto de Gold Fields, dominio del grupo)",,
MINERA MISKI S.A.C.,9,4800.0,PIURA,PIURA,EXTINGUIDO; TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S); AMBIGUO: podria ser nombre legado/duplicado de 'COMPAÑIA MINERA MISKI MAYO S.R.L.' (ver esa fila) - verificar RUC manualmente antes de asumir que es la misma empresa,,
S.M.R.L. CERRO MOCHO S.R.L.,9,1800.0,PIURA,PAITA; SULLANA; SULLANA /  TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA ANTAMINA S.A.,8,3914.8,ANCASH,HUARMEY; HUARMEY /  MAR,OTROS; TITULADO,M; N,antamina.com,,,,,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
S.M.R.L. BENAVIDES Nº1 DE CAJAMARCA,8,261.8,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CIA MINERA CLEOFE S.R.L.,8,1400.0,CAJAMARCA,CHOTA; HUALGAYOC,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PARREÑA PERU S.A.C.,8,3500.0,CAJAMARCA; CAJAMARCA /  LAMBAYEQUE,CAJABAMBA; CAJABAMBA /  CAJAMARCA; CAJAMARCA; CELENDIN; CHICLAYO /  CHOTA; CONTUMAZA; CUTERVO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GOLDEN SNAKE MINING & EXPLORATION III SAC,8,7600.0,CAJAMARCA,CELENDIN,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ODISEA PERUS S.A.C,8,2000.0,PIURA,AYABACA; PAITA; PIURA; PIURA /  SECHURA; PIURA /  SULLANA; SULLANA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
IRBENSA SOCIEDAD ANONIMA,7,5800.0,ANCASH,CASMA; SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLOANDINA S.A.C.,7,3900.0,ANCASH,CASMA; CASMA /  YUNGAY; SANTA,EXTINGUIDO; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
J.C. ASTILLEROS S.A.,7,1969.4,ANCASH,CASMA /  SANTA; MAR /  SANTA; SANTA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CALERA EL ZASAL S.A.C.,7,1900.0,CAJAMARCA,CELENDIN; CELENDIN /  HUALGAYOC; CHOTA /  HUALGAYOC; HUALGAYOC,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA ARES S.A.C.,7,5900.0,CAJAMARCA; CAJAMARCA /  LA LIBERTAD,CONTUMAZA /  GRAN CHIMU; SAN MIGUEL,EXTINGUIDO; TITULADO,M,hochschildmining.com,,,,,"INGEMMET - Catastro Minero (zona 17S); sitio web oficial (subsidiaria de Hochschild Mining, sin sitio propio independiente)",,
LUMINA COPPER S.A.C.,7,3315.9,CAJAMARCA,CAJAMARCA /  CELENDIN; CELENDIN,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA HUINCHOS S.A.C.,7,2900.0,CAJAMARCA,SAN MIGUEL,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ANGLO AMERICAN PERU S.A.,7,5200.0,CAJAMARCA; CAJAMARCA /  LA LIBERTAD,CONTUMAZA; CONTUMAZA /  GRAN CHIMU; SAN MIGUEL,EXTINGUIDO; TITULADO,M,peru.angloamerican.com,,,,(511) 614-6000,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
ANDALUCITA S.A.,7,2864.0,PIURA,MAR /  PAITA; PAITA,OTROS; TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FOSFATOS DEL PACIFICO S.A.,7,15184.1,PIURA,MAR /  SECHURA; SECHURA,OTROS; TITULADO,N,fosfatosdelpacifico.pe,,,,,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
DISTRIBUIDORA NORTE PACASMAYO S.R.L.,7,3400.0,PIURA,PAITA; SECHURA; SULLANA; TALARA,TITULADO; TRAMITE,N,dino.com.pe,,,,0800-1-3466,INGEMMET - Catastro Minero (zona 17S); sitio web oficial (correo encontrado pvalencia@dino.com.pe descartado por estar ligado a una persona),,
INEXPORT SERVIS SOCIEDAD ANONIMA CERRADA,7,1500.0,PIURA,PIURA; SECHURA; SULLANA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERIA & CONSTRUCCION CONSTMIN S.A.C.,6,2000.0,ANCASH,CASMA; HUARMEY,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION MINERA NUEVA LUZ E.I.R.L.,6,800.0,ANCASH,CASMA /  YUNGAY; CORONGO; CORONGO /  SANTA; SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GOLDEN IDEAL GOLD MINING SAC,6,1600.0,ANCASH; CAJAMARCA; PIURA,HUARMEY; SAN PABLO; SECHURA; TALARA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA CHIMU S.A.C.,6,2600.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
POLIMETALICOS CHIMBOTE SOCIEDAD ANONIMA CERRADA,6,737.8,ANCASH,SANTA,OTROS; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA VETA DORADA S.A.C.,6,3100.0,ANCASH; CAJAMARCA /  LA LIBERTAD; PIURA,ASCOPE /  CONTUMAZA; AYABACA; SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSULTORES MAPE JH S.A.C.,6,3500.0,CAJAMARCA,CAJABAMBA; CAJABAMBA /  CAJAMARCA; CAJABAMBA /  CAJAMARCA /  SAN MARCOS; CAJABAMBA /  SAN MARCOS,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS BULLMINING SAC,6,5400.0,CAJAMARCA; CAJAMARCA /  LA LIBERTAD,CAJABAMBA; CAJABAMBA /  SANCHEZ CARRION; CELENDIN; CONTUMAZA; SAN MIGUEL; SANTA CRUZ,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA ESTRELLA DE BELEM S.A.,6,1100.0,PIURA,PIURA; PIURA /  SULLANA; SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NEGOCIOS GENERALES Y SERVICIOS JERUSALEM E.I.R.L.,6,1400.0,PIURA,PAITA /  SULLANA; SULLANA /  TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS GENERALES GRAFI PERU S.A.C.,5,1200.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO JEVIMO S.A.C.,5,3200.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPANIA DE MINAS MININGOLD SR.L.,5,1300.0,CAJAMARCA,CHOTA; HUALGAYOC,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLORACIONES ANTAKANA S.A.C.,5,3800.0,CAJAMARCA,CAJAMARCA /  CONTUMAZA; CONTUMAZA; JAEN,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. DORADO,5,18.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
V DE V & ASOCIADOS S.A.C.,5,1000.0,CAJAMARCA,JAEN /  SAN IGNACIO; SAN IGNACIO,EXTINGUIDO; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CALERA BENDICION DE DIOS E.I.R.L.,5,1700.0,CAJAMARCA,CELENDIN; CHOTA; CHOTA /  HUALGAYOC; HUALGAYOC,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LOS NEGROS Y SANTO CRISTO DE CAJAMARCA,5,44.0,CAJAMARCA,HUALGAYOC,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COPPER NORTE RESOURCES E.I.R.L.,5,3400.0,CAJAMARCA,SAN MIGUEL; SAN MIGUEL /  SANTA CRUZ,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINSUR S.A.,5,3400.0,CAJAMARCA,FUERA DEL PERU /  SAN IGNACIO; SAN IGNACIO,EXTINGUIDO; TITULADO; TRAMITE,M,minsur.com,,,,(511) 215-8330,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
MINERA CASSIL E.I.R.L.,5,700.0,CAJAMARCA,CAJAMARCA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
TORRINE S.A.C.,5,4300.0,CAJAMARCA; PIURA,AYABACA; AYABACA /  PIURA; CONTUMAZA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ILLESCAS SERVICE S.A.C.,5,900.0,PIURA,PIURA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ROYAL GOLD PERU S.A.C,5,1505.1,PIURA,PIURA; PIURA /  SULLANA,OTROS; TITULADO,M,royalgp.com.pe,,,,,"INGEMMET - Catastro Minero (zona 17S); sitio web oficial (verificar: existe otra entidad homonima 'ROYAL GOLD PERU S.A.C.' con RUC distinto en Lima; este dominio corresponde a la ubicada en Las Lomas, Piura, coincidente con la region de esta fila)",,
CONSTRUCTORA Y SERVICIOS ESTRELLA DEL ORIENTE S.A.,5,600.0,PIURA,PAITA; PAITA /  SULLANA; PIURA; PIURA /  SULLANA; SULLANA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SENSEI MINERALES S.R.L.,5,1619.7,PIURA,HUANCABAMBA,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA MARILIA & FCS SAC,5,2500.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ASTROS INGENIEROS S.R.LTDA.,5,508.3,PIURA,PAITA,OTROS; TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ANDOANDINA BIOTECH S.A.C.,5,5000.0,PIURA,SULLANA /  TALARA; TALARA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ALFHEIM INVESTMENTS S.A.C.,4,3500.0,ANCASH,CASMA; HUARMEY; PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA CENTENIAL S.A.,4,1199.9,ANCASH; CAJAMARCA,CASMA; SAN MIGUEL,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ORION MINING COMERCIALIZATION SAC-ORMINCO S.A.C.,4,1953.4,ANCASH,CASMA /  SANTA; CASMA /  SANTA /  YUNGAY; SANTA,OTROS; TITULADO,M,orminco.com,,,,,INGEMMET - Catastro Minero (zona 17S); sitio web oficial,,
S.M.R.L. PERLA NEGRA III,4,1300.0,ANCASH; ANCASH /  LA LIBERTAD,CORONGO; PALLASCA; PALLASCA /  SANTIAGO DE CHUCO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SHAMBHALA RESOURCES SOCIEDAD ANONIMA CERRADA,4,3800.0,ANCASH,HUARMEY,EXTINGUIDO; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA Y SERVICIOS GENERALES G&G S.A.C,4,1100.0,ANCASH,HUARMEY; SANTA,TITULADO; TRAMITE,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CALIPEC S.A.C.,4,400.0,ANCASH,HUARMEY,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
AGF GLOBAL S.A.C.,4,1900.0,ANCASH,HUAYLAS; HUAYLAS /  SANTA; SANTA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
JALFPO S.A.C.,4,800.0,ANCASH,PALLASCA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION MINERA ASHUNISA SAC,4,1000.0,ANCASH; PIURA,AYABACA; SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COBRE AZTECA S.A.C.,4,700.0,ANCASH,SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA SOKA - INTIRUMI S.A.C.,4,700.0,ANCASH,SANTA,EXTINGUIDO; TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
